Masked IDs,PC1,PC2,PC3,PC4,PC5
S00231,-0.0286717,0.0574659,0.00782844,0.00487073,-0.00242329
S00186,0.00827852,0.0989719,-0.00482047,-0.00829459,0.0057187
S00140,-0.00234884,0.0757943,0.000834808,-0.0130094,0.00531362
S00331,-0.00103455,0.0892819,0.00586089,-0.00180885,-0.000375194
S00256,0.00244281,0.0954701,0.0152946,-0.0138246,-0.0121051
S00132,0.00183068,0.071415,0.00356559,0.00596148,-0.00411562
S00386,0.00750929,0.0750417,-5.53E-05,-0.0103132,0.00632844
S00083,-0.00241265,0.0557793,-0.00331114,-0.00304873,-0.00726026
S00187,0.00226559,0.0983125,0.00357192,0.00926714,0.00960955
S00337,0.00432521,0.0791212,0.00767028,-0.00289995,0.000166169
S00159,-0.00169178,0.0573528,0.00137118,-0.00662824,-0.00556832
S00118,0.00451333,0.0676153,-0.00439768,-0.00704893,-0.00590505
S00039,0.00157646,0.068476,-0.00851557,0.00220398,-0.000824727
S00239,-0.00992003,0.0905569,0.0074797,-0.0148689,-0.0105605
S00411,-0.00049665,0.100316,-0.00765474,0.00841235,0.0202276
S00367,0.00238036,0.0988239,-0.00497752,0.0219078,-0.00549344
S00341,-0.00435635,0.0827155,0.00163853,0.00261319,-0.00578979
S00339,0.00497056,0.0976226,0.00801892,-0.0010685,0.00956443
S00161,0.000896983,0.0905432,-0.00259536,0.00361311,-0.00840955
S00323,0.00137136,0.0711834,0.00184069,0.00719449,0.0153418
S00374,0.00227695,0.0939984,-0.00254269,0.0105294,0.0206126
S00371,0.00349371,0.0857162,-0.000693195,0.00746918,-0.00129985
S00149,-0.00034058,0.0872531,0.0131254,-0.00294272,-0.00485274
S00137,-1.22E-05,0.0891464,0.00846875,-0.00286793,-0.00873393
S00408,0.00499386,0.0997197,0.00363732,0.00108183,0.00270583
S00319,0.00556767,0.044795,0.00272734,0.00642351,0.0116165
S00044,-0.034829,0.0411891,-0.00253409,0.000244822,0.00664574
S00016,0.000545317,0.0865395,0.00818368,0.00478836,-0.000610119
S00291,0.000817147,0.0518295,-0.000639463,0.014979,-0.0153768
S00311,-0.0174295,0.0661186,-0.000880185,0.0127165,-0.0103263
S00212,-0.0108494,0.0712054,0.02261,-0.0289066,0.00556248
S00328,0.000344031,0.070508,-0.000900299,-0.0103549,-0.00201671
S00375,-0.00446809,0.0882366,0.015613,7.67E-05,0.00307805
S00138,-0.00334799,0.0520392,-0.000597795,0.00881811,0.00344069
S00009,-0.00696408,0.0857977,-0.0166528,-0.00874888,0.0130655
S00400,-0.0162245,0.0674529,-0.00247064,-0.00281384,-0.00187402
S00286,0.00323925,0.0928157,0.00153242,0.0111692,-0.00151191
S00100,0.00076027,0.0747845,0.00366659,-0.00322679,0.0063025
S00346,-0.000348046,0.0853907,-0.000765505,-0.00773239,0.00796697
S00394,0.00755776,0.107078,0.00406106,-0.00646055,0.000728534
S00110,0.00669366,0.102266,0.0080731,-0.00410138,0.00351254
S00032,0.00448876,0.0829615,-0.004798,-0.003392,-0.000415047
S00121,-0.012573,0.0742201,-0.00348907,0.00916305,0.00543642
S00206,0.00121987,0.0964974,0.0106608,0.00460218,0.00865234
S00351,0.00205983,0.0876226,0.00318392,-0.00178947,0.0129225
S00293,-0.00130301,0.0613707,0.00304266,0.00763771,0.00624866
S00021,0.00758956,0.0970643,-0.0108863,0.00864764,-0.00170478
S00117,0.00361013,0.091706,-0.000860035,0.0146237,-0.00756589
S00041,-0.00354201,0.0793332,0.0118015,-0.00854078,0.0030841
S00296,0.00300692,0.0741002,-0.00039656,0.00639427,-0.000799904
S00242,-0.000157803,0.0785907,-0.00567313,0.0116724,0.00229445
S00343,0.00357644,0.101061,-0.0055921,0.0137048,0.00311331
S00089,-0.00451903,0.0795425,0.0142139,0.00120232,0.00585087
S00068,-0.00148196,0.0794101,0.00341822,0.00265788,0.00336646
S00414,-0.00132917,0.073363,-0.0211936,-0.00333403,-0.00572201
S00093,0.00442516,0.0872508,0.00206716,0.0107178,-0.00408933
S00240,0.0029643,0.0472288,0.0181663,-0.0119729,0.0173977
S00166,0.00738836,0.0853816,0.0154096,0.00652604,0.014622
S00292,-0.0139142,0.0597406,0.0043326,-0.0271933,-0.0109983
S00210,0.00835704,0.100779,0.00857556,-0.00666506,-0.00112337
S00376,0.0172006,0.0347057,0.00998963,0.00489436,-0.00708231
S00412,0.00219,0.075633,0.0060036,0.00125557,-0.00680992
S00128,0.000398588,0.100259,0.00513453,-0.00717897,0.00444627
S00345,0.00126073,0.0658886,0.00226705,-0.000114636,-0.00215154
S00150,-0.000369086,0.100832,0.00470308,0.00672903,0.0113679
S00279,-0.00242272,0.0882769,0.00549728,0.0024706,-0.00348389
S00360,0.00936414,0.0891969,0.0134316,0.0112669,0.0123622
S00211,0.00413498,0.1033,-0.0117544,0.00487616,-0.0030153
S00168,-0.00105648,0.088576,-0.00578608,-0.00114713,-0.00363579
S00125,-0.009614,0.0522587,-0.0114078,0.00857629,-0.0059567
S00043,0.00213617,0.0768545,-0.00927942,0.00220045,-0.00147998
S00366,-0.00651515,0.057465,-0.00112184,-0.000977763,-0.00421524
S00277,0.00561671,0.100359,0.000441599,0.00538189,-0.000540046
S00011,0.0137943,0.0354187,-0.009028,0.00594235,0.00449302
S00151,0.0016112,0.0868881,-0.00269737,-0.00923111,-0.0106521
S00379,-0.00519987,0.0771559,0.00080504,0.00436877,-0.00885562
S00073,0.00461558,0.073811,0.0107159,0.00628425,-0.0160534
S00164,-0.000136481,0.0871907,0.00552366,-0.0136638,0.00388507
S00278,0.00977203,0.0785,0.00216651,0.00832794,-0.00802377
S00310,-0.0450586,0.0506924,0.0515194,-0.00209016,-0.0364277
S00338,0.00932912,0.098975,0.0101461,-0.00652542,0.00632557
S00304,-0.0199151,0.064623,0.000914212,-0.0109527,0.0029895
S00003,0.00815817,0.0868944,0.00274773,0.0068156,-0.00537398
S00075,0.0058224,0.065486,0.00567886,0.00166126,-0.0114439
S00131,0.0126755,0.0829171,-0.00711744,-0.00548755,0.00552112
S00369,0.00241953,0.0809003,-0.00276529,-0.0123296,0.00458001
S00067,-0.000817618,0.0922316,0.00480195,-0.0140795,0.0119955
S00223,-0.00168892,0.0825557,0.000957797,0.00196902,0.00939302
S00095,-0.00306466,0.0827127,-0.0111547,0.00836337,0.00205817
S00340,-0.00203277,0.0828929,0.0130195,0.00497596,0.000545913
S00288,-0.0123764,0.0659315,-0.0204821,0.00333348,-0.00431501
S00112,-0.000693228,0.0938462,-0.00493297,-0.00282662,0.00164476
S00227,0.0103064,0.0894477,0.00557469,0.0103738,0.0179905
S00372,0.00823179,0.11191,-0.00645537,-0.0110236,0.00363085
